year,cuenta,entidad,cop,entity_code,sector_code,indice,cop_def
2013,INVERSION,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,1408671305470.0,1701,17,78.05,1804831909634.8496
2013,FUNCIONAMIENTO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),93744772000.0,1702,17,78.05,120108612427.93082
2013,DEUDA,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),238960000.0,1702,17,78.05,306162716.2075593
2013,INVERSION,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),169449000000.0,1702,17,78.05,217103139013.4529
2013,FUNCIONAMIENTO,INSTITUTO COLOMBIANO DE DESARROLLO RURAL - INCODER EN LIQUIDACIÓN,50969057000.0,1713,17,78.05,65303083920.56374
2013,DEUDA,INSTITUTO COLOMBIANO DE DESARROLLO RURAL - INCODER EN LIQUIDACIÓN,51000000.0,1713,17,78.05,65342729.01985907
2013,INVERSION,INSTITUTO COLOMBIANO DE DESARROLLO RURAL - INCODER EN LIQUIDACIÓN,446764000000.0,1713,17,78.05,572407431133.8885
2013,FUNCIONAMIENTO,AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA - AUNAP,10066545000.0,1715,17,78.05,12897559256.886612
2013,INVERSION,AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA - AUNAP,9869707320.0,1715,17,78.05,12645364919.923126
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTIÓN DE RESTITUCIÓN DE TIERRAS DESPOJADAS,48835000000.0,1716,17,78.05,62568866111.46701
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTIÓN DE RESTITUCIÓN DE TIERRAS DESPOJADAS,202918632770.0,1716,17,78.05,259985435964.12558
2013,FUNCIONAMIENTO,MINISTERIO DE SALUD Y PROTECCIÓN SOCIAL,6976310393341.0,1901,19,78.05,8938258031186.42
2013,INVERSION,MINISTERIO DE SALUD Y PROTECCIÓN SOCIAL,3508640585375.0,1901,19,78.05,4495375509769.379
